epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.18453631382512847,0.9438450899031812,0.25135146734197583,0.956858407079646,0.9574000039194936,0.9569813260236423,0.9568520184311493
2,0.11576065021266911,0.9654218533886584,0.13467029778830772,0.9535398230088495,0.9540108261689568,0.9536552534325362,0.9535341371359758
3,0.08261003995399258,0.9726141078838174,0.18421372800933578,0.9513274336283186,0.9534067619174003,0.9515602437651436,0.9512871384133049
4,0.07975028146362322,0.9737206085753803,0.13194636134760437,0.9601769911504424,0.9622928984631112,0.9604101911451577,0.9601440223381585
5,0.07066260834081539,0.9762102351313969,0.17189982973566625,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
6,0.06874783304552155,0.9789764868603043,0.1621429336657006,0.959070796460177,0.9594827586206897,0.9591791282214445,0.9590667392780874
7,0.0763876705599194,0.975103734439834,0.15574844072745964,0.9623893805309734,0.9627442049533996,0.9624905161653491,0.9623864348370927
8,0.07400933915483836,0.9759336099585062,0.13915333700720714,0.9668141592920354,0.967600421537632,0.9669595437969603,0.9668061981346846
9,0.06204935417176942,0.9789764868603043,0.2942603760258814,0.9314159292035398,0.9393346379647749,0.9318681318681319,0.9311517295597485
10,0.07164218607429482,0.9762102351313969,0.1546257285203422,0.9546460176991151,0.9574841987122689,0.9549156856506522,0.9545926211784308
11,0.05540060557909361,0.9831258644536652,0.1547405531267281,0.9469026548672567,0.9498569522205644,0.9471793240167405,0.9468360385791579
12,0.049448565814133996,0.9825726141078838,0.1466739111676474,0.959070796460177,0.9603228338730252,0.9592525514574513,0.9590527082529947
13,0.05498855909768023,0.9803596127247579,0.15988495037684927,0.9513274336283186,0.9534067619174003,0.9515602437651436,0.9512871384133049
14,0.058043220068326795,0.9778699861687413,0.12012504860532132,0.9601769911504424,0.9602700228608911,0.9602339753787414,0.9601767962291303
15,0.04645000124687682,0.9800829875518672,0.16580579440991303,0.959070796460177,0.9610455974842768,0.9592966053990553,0.9590394701876459
16,0.04890951009037007,0.9842323651452282,0.14465370427907767,0.9579646017699115,0.9600713643266835,0.9581977043001542,0.9579298013569452
17,0.05103342111633361,0.9809128630705394,0.11661433360737179,0.9579646017699115,0.9583168040434316,0.958065542475342,0.9579613095238095
18,0.04150456366841559,0.9809128630705394,0.17477709791383272,0.9601769911504424,0.9602700228608911,0.9602339753787414,0.9601767962291303
19,0.047982772799108286,0.9795297372060857,0.17052103018808484,0.9668141592920354,0.9679784953620814,0.9669889130913629,0.9668009969494131
20,0.03962422411780634,0.9850622406639004,0.15046617870406553,0.959070796460177,0.9594827586206897,0.9591791282214445,0.9590667392780874
21,0.044474347401539154,0.9825726141078838,0.14330238468153814,0.9601769911504424,0.9609538514324927,0.9603220832619497,0.9601674377616215
22,0.059697458911609845,0.9784232365145228,0.13176054212798372,0.959070796460177,0.9605454331265216,0.9592672361046526,0.959048697621744
23,0.03640489085972886,0.9845089903181189,0.18051348481455043,0.9336283185840708,0.9347748172369267,0.9334638635306787,0.9335645834558175
24,0.0541866554197228,0.9795297372060857,0.16350223213038614,0.9612831858407079,0.9623352165725048,0.9614503536552534,0.961269489195485
25,0.044488048077371604,0.9803596127247579,0.17777531603103983,0.9491150442477876,0.951466241768834,0.9493624415673414,0.94906618064946
26,0.03515387887539623,0.9858921161825726,0.17046953956740463,0.956858407079646,0.958326788659389,0.9570547492596491,0.9568351137094059
27,0.03484825719158226,0.9853388658367911,0.16619636874081387,0.963495575221239,0.9645519460138104,0.963662840500257,0.9634826612414573
28,0.0350334962608388,0.986445366528354,0.14088482568885274,0.959070796460177,0.9593690623102388,0.9591644435742431,0.9590683422115676
29,0.037414319854085415,0.986445366528354,0.1282145091470545,0.9690265486725663,0.9690692381115544,0.9690692381115544,0.9690265486725663
30,0.031826284933283946,0.9858921161825726,0.1704648915063734,0.9679203539823009,0.9679203539823009,0.9679409677182506,0.9679200006852609
31,0.035348330287747136,0.9850622406639004,0.13550720756216206,0.9756637168141593,0.9758292330665099,0.9757360679409677,0.9756632403328438
32,0.03122978245769917,0.9872752420470262,0.1935237289804412,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
33,0.030910013833780094,0.9872752420470262,0.2121969482094417,0.9601769911504424,0.9601719015384014,0.9601899214371374,0.9601762114537444
34,0.03945385797598488,0.9836791147994467,0.1846815631941241,0.9668141592920354,0.9672961520562373,0.9669301745025576,0.9668100979542684
35,0.041638892277544505,0.9814661134163208,0.19304131107239816,0.9546460176991151,0.9551854900346874,0.9547688391786388,0.9546393014276187
36,0.02858423818170736,0.9853388658367911,0.278850895386659,0.9446902654867256,0.946238934794456,0.9448934139357301,0.9446574886253998
37,0.03045609753894817,0.9858921161825726,0.13937709210949834,0.9623893805309734,0.962638880047791,0.9624758315181478,0.9623877236349396
38,0.029214501790934207,0.9878284923928077,0.1852691412433377,0.9690265486725663,0.9690692381115544,0.9690692381115544,0.9690265486725663
39,0.02610723631110952,0.9881051175656984,0.21044602161515463,0.959070796460177,0.9592734038386213,0.9591497589270417,0.9590695443292938
40,0.031792732570796976,0.9872752420470262,0.14130973382161433,0.9701327433628318,0.9704364263187792,0.9702268777992609,0.9701309524246574
41,0.03667736357982228,0.987551867219917,0.17434542922640994,0.9646017699115044,0.96485214691783,0.9646883183631513,0.9646002104799432
42,0.026230094084750608,0.9881051175656984,0.18029710390080647,0.9557522123893805,0.9559129519473208,0.9558236863359357,0.9557513460597161
43,0.02360705794556579,0.9886583679114799,0.16501718184884187,0.956858407079646,0.9577164427885088,0.9570106953180451,0.9568465258491219
44,0.02507210595025726,0.9878284923928077,0.1877885855411373,0.956858407079646,0.9577164427885088,0.9570106953180451,0.9568465258491219
45,0.022725506850394626,0.9881051175656984,0.2127990770643102,0.9513274336283186,0.951487111698612,0.9513987126459287,0.9513264806656877
46,0.025856991996875942,0.9886583679114799,0.22101548954472983,0.9557522123893805,0.9571046497362287,0.9559411635135466,0.9557305439658381
47,0.02302268628178507,0.9858921161825726,0.24536326648750678,0.9668141592920354,0.9674390799641315,0.9669448591497589,0.9668083106507137
48,0.016965311307706104,0.990594744121715,0.29339566603274625,0.9612831858407079,0.9621482498284146,0.9614356690080521,0.96127252319793
49,0.020529031759465466,0.9894882434301521,0.21191353814121242,0.959070796460177,0.9591957624297491,0.9591350742798403,0.9590703457018845
50,0.023688816443410282,0.9883817427385891,0.2567659373661329,0.9657079646017699,0.966009480715363,0.9658019041092538,0.9657059083394215
51,0.020411940161824706,0.9886583679114799,0.19223008920277357,0.9601769911504424,0.9602700228608911,0.9602339753787414,0.9601767962291303
52,0.024488567267055075,0.9914246196403873,0.1252831867048661,0.9668141592920354,0.9670654137878691,0.9669008052081549,0.9668126973249468
53,0.020066452759059137,0.9908713692946057,0.25810005200990227,0.9535398230088495,0.955628296053828,0.9537727306101471,0.9535013593945183
54,0.02210129204150296,0.9886583679114799,0.23569490985385455,0.959070796460177,0.9605454331265216,0.9592672361046526,0.959048697621744
55,0.021397728754792306,0.9892116182572613,0.31625648768830156,0.9435840707964601,0.9460547028728847,0.9438385667784331,0.9435259531465319
56,0.016058901819375693,0.990594744121715,0.2553915901693778,0.9646017699115044,0.9649579054083837,0.9647030030103527,0.9645989974937343
57,0.015194496117116185,0.9922544951590595,0.25206245336210537,0.9679203539823009,0.9681257344300822,0.967999706307056,0.9679193725824196
58,0.016905287323408645,0.9908713692946057,0.21826717590663097,0.9623893805309734,0.9623843017478941,0.962402408282141,0.9623886441507588
59,0.014853905065491434,0.991701244813278,0.2302270922020772,0.963495575221239,0.963621321009654,0.9635600479698476,0.9634951731935728
60,0.018452536064730816,0.9892116182572613,0.23553264730242013,0.9601769911504424,0.9609538514324927,0.9603220832619497,0.9601674377616215
61,0.018540105137068785,0.9914246196403873,0.19196341063782074,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
62,0.017997570271264984,0.9900414937759335,0.2431929770450471,0.9612831858407079,0.9619795342272406,0.9614209843608508,0.9612751775601649
63,0.01572329658425779,0.9897648686030428,0.24391584042259476,0.9579646017699115,0.9584392681313836,0.9580802271225434,0.95795945740874
64,0.017530354679818814,0.9900414937759335,0.2641139894327449,0.9557522123893805,0.956892619062802,0.9559264788663453,0.9557346625992176
65,0.014369316209055065,0.9900414937759335,0.25398317996474057,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
66,0.016090615522733925,0.9903181189488243,0.2545632053719059,0.9557522123893805,0.9559129519473208,0.9558236863359357,0.9557513460597161
67,0.01465577343071627,0.9911479944674965,0.2507320608835704,0.9579646017699115,0.9580573627245091,0.9580214885337379,0.9579643960196376
68,0.01441771534223354,0.990594744121715,0.27423776607729783,0.9612831858407079,0.9612831858407079,0.9613035071832399,0.9612827594477287
69,0.01704054996156714,0.9889349930843706,0.24053502405105362,0.9623893805309734,0.9630094228215544,0.9625198854597519,0.9623827520708089
70,0.01382818346035009,0.9925311203319502,0.2414409271676088,0.9601769911504424,0.9605305044984156,0.9602780293203456,0.9601738721804511
71,0.013675860179811851,0.9897648686030428,0.30878383014555566,0.9579646017699115,0.9589149909533546,0.9581242810641475,0.9579514296905601
72,0.013654838131312103,0.9914246196403873,0.29462213685007504,0.959070796460177,0.9592734038386213,0.9591497589270417,0.9590695443292938
73,0.013638524034769395,0.9911479944674965,0.28032486708849896,0.9579646017699115,0.9583168040434316,0.958065542475342,0.9579613095238095
74,0.013391869022067907,0.9908713692946057,0.27682082089894716,0.9601769911504424,0.9603387921960295,0.9602486600259428,0.9601762114537444
75,0.014611623949764322,0.991701244813278,0.2887227447110764,0.9646017699115044,0.9647646324447382,0.96467363371595,0.9646010768477729
76,0.01373528076722494,0.9922544951590595,0.3213383897675673,0.9535398230088495,0.9543072813273534,0.953684622726939,0.9535286773885585
77,0.012549613211096941,0.9914246196403873,0.31067538657245186,0.959070796460177,0.9594827586206897,0.9591791282214445,0.9590667392780874
78,0.013887495417352265,0.990594744121715,0.30880321639004865,0.9623893805309734,0.962638880047791,0.9624758315181478,0.9623877236349396
79,0.012841566612183527,0.9922544951590595,0.3235347095010113,0.9601769911504424,0.9604256131777518,0.9602633446731442,0.9601752367899361
80,0.012466986072870783,0.9919778699861688,0.34729415869458885,0.959070796460177,0.9593690623102388,0.9591644435742431,0.9590683422115676
81,0.014853924095446227,0.9908713692946057,0.3784441127088746,0.9557522123893805,0.9566986854170038,0.955911794219144,0.9557383470426949
82,0.012795014917345162,0.9911479944674965,0.3355725271020698,0.9623893805309734,0.9628677100938106,0.9625052008125505,0.9623847776815042
83,0.012151046670135468,0.9925311203319502,0.39092465812404853,0.956858407079646,0.9575492041088371,0.9569960106708436,0.9568494835670408
84,0.012416356794470217,0.9930843706777317,0.36359852683971744,0.9579646017699115,0.9585797656789772,0.9580949117697447,0.9579571934909041
85,0.012609696528994154,0.9930843706777317,0.34247429386758327,0.9601769911504424,0.9607945942502658,0.9603073986147483,0.9601699727808566
86,0.012800435925577306,0.9930843706777317,0.3496715207373504,0.9623893805309734,0.9628677100938106,0.9625052008125505,0.9623847776815042
87,0.013345940807816403,0.9903181189488243,0.3322306754485013,0.9623893805309734,0.9628677100938106,0.9625052008125505,0.9623847776815042
88,0.012310627867553001,0.9933609958506224,0.3177276469284217,0.9623893805309734,0.9628677100938106,0.9625052008125505,0.9623847776815042
89,0.013038247004313067,0.9900414937759335,0.3321898403759402,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
90,0.011846622085762808,0.9914246196403873,0.3262662061582378,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
91,0.011801093630470234,0.992807745504841,0.34435770398649806,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
92,0.0120007695324278,0.990594744121715,0.33297702641072596,0.959070796460177,0.9594827586206897,0.9591791282214445,0.9590667392780874
93,0.011733726062829712,0.992807745504841,0.34723796970150084,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
94,0.012359167117163573,0.9925311203319502,0.34300994734489354,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
95,0.012167890621048422,0.9930843706777317,0.3397349056481289,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
96,0.011716820421577944,0.992807745504841,0.36045633031818625,0.9612831858407079,0.9618290316891058,0.9614062997136494,0.9612774524382109
97,0.012397286161998596,0.9914246196403873,0.35083718130283864,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
98,0.012440429792677241,0.9922544951590595,0.3458849247163665,0.9601769911504424,0.9607945942502658,0.9603073986147483,0.9601699727808566
99,0.01193973446848736,0.9939142461964039,0.34678792770480454,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
100,0.011718763421228271,0.992807745504841,0.34863097320400793,0.9601769911504424,0.9606534891125971,0.9602927139675469,0.9601721175451221
